Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,1,4,0
3,0.059196,3,20,1
4,0.027763,9,176,22
5,0.036436,12,172,16
6,0.018091,15,228,23
7,0.033628,17,132,14
8,0.019284,20,308,36
9,0.039522,23,264,28
10,0.016048,26,400,35
11,0.032886,28,220,16
12,0.010468,31,480,34
13,0.012994,32,128,10
14,0.019454,34,268,22
15,0.007932,35,280,15
16,0.005781,36,144,8
17,0.005555,37,148,9
18,0.005588,38,152,11
19,0.004947,38,0,0
20,0.004836,39,156,16
21,0.005749,40,160,12
22,0.005082,40,0,0
23,0.004515,40,160,9
24,0.005499,40,0,0
25,0.006070,41,164,5
26,0.004975,42,168,9
27,0.004669,42,0,0
28,0.005640,43,172,11
29,0.004973,44,176,8
30,0.004396,44,0,0
31,0.004966,45,180,11
32,0.005248,45,0,0
33,0.004413,45,180,8
34,0.004635,45,0,0
35,0.006142,46,184,9
36,0.005721,47,188,13
37,0.004837,47,0,0
38,0.006207,48,192,17
39,0.018215,49,196,20
40,0.012066,50,400,32
41,0.005081,51,204,12
42,0.005847,52,208,16
43,0.005536,53,212,20
44,0.004408,53,0,0
45,0.005698,54,216,19
46,0.005109,55,220,23
47,0.004679,55,0,0
48,0.005989,55,220,25
49,0.017721,56,224,26
50,0.011401,58,460,63
51,0.011457,59,236,31
52,0.006602,60,240,31
53,0.007410,60,240,34
54,0.007408,61,244,35
55,0.006999,62,248,35
56,0.007614,63,252,34
57,0.008281,64,256,38
58,0.020936,65,260,36
59,0.008575,66,524,69
60,0.006801,67,268,38
61,0.007410,68,272,39
62,0.006311,69,276,44
63,0.007969,70,280,45
64,0.006954,70,280,46
65,0.006041,70,0,0
66,0.006265,71,284,51
67,0.011357,72,288,54
68,0.006185,73,292,54
69,0.006768,74,296,53
70,0.004932,75,300,53
71,0.005147,75,0,0
72,0.005928,75,300,47
73,0.005366,76,304,50
74,0.005199,76,0,0
75,0.006721,77,308,52
76,0.006820,78,312,53
77,0.005728,79,316,48
78,0.005918,79,0,0
79,0.019423,80,320,47
80,0.007880,81,644,102
81,0.006069,82,328,57
82,0.007556,83,332,60
83,0.006590,84,336,62
84,0.007332,85,340,69
85,0.006562,85,340,57
86,0.005963,85,0,0
87,0.007335,86,344,60
88,0.006409,87,348,64
89,0.007676,88,352,57
90,0.006987,89,356,57
91,0.007213,90,360,63
92,0.005186,90,0,0
93,0.005462,90,360,68
94,0.005201,91,364,80
95,0.004907,91,0,0
96,0.005646,92,368,79
97,0.005180,93,372,77
98,0.004556,93,0,0
99,0.005934,94,376,80
100,0.005557,95,380,80
101,0.017848,95,0,0
102,0.007323,96,764,162
103,0.005942,97,388,85
104,0.006377,98,392,84
105,0.005557,99,396,88
106,0.005150,99,0,0
107,0.005748,100,400,83
108,0.005398,100,400,76
109,0.004437,100,0,0
110,0.005905,101,404,85
111,0.005598,102,408,88
112,0.004557,102,0,0
113,0.005294,103,412,89
114,0.005552,103,0,0
115,0.005157,104,416,99
116,0.005179,105,420,98
117,0.005510,105,0,0
118,0.005484,105,420,91
119,0.004931,106,424,95
120,0.005912,106,0,0
121,0.006774,107,428,97
122,0.006102,108,432,101
123,0.005986,108,0,0
124,0.006444,109,436,100
125,0.006205,110,440,98
126,0.020237,110,440,100
127,0.009556,112,892,191
128,0.008277,113,452,100
129,0.008842,114,456,100
130,0.009328,115,460,105
131,0.009341,115,460,102
132,0.009411,117,932,220
133,0.010146,118,472,114
134,0.009017,119,476,114
135,0.009439,120,480,118
136,0.008527,120,480,119
137,0.009746,121,484,121
138,0.007692,122,488,124
139,0.007505,123,492,123
140,0.007040,124,496,121
141,0.006651,125,500,120
142,0.019382,125,500,115
143,0.010063,127,1012,219
144,0.007424,128,512,113
145,0.007658,129,516,114
146,0.007007,130,520,121
147,0.007470,130,520,118
148,0.007157,131,524,110
149,0.007020,132,528,107
150,0.006904,133,532,118
151,0.005926,133,0,0
152,0.006165,134,536,120
153,0.007342,135,540,120
154,0.005578,135,540,119
155,0.005772,135,0,0
156,0.006059,136,544,119
157,0.005581,137,548,120
158,0.004933,137,0,0
159,0.006188,138,552,130
160,0.006773,139,556,133
161,0.005908,140,560,123
162,0.006027,140,0,0
163,0.020651,140,560,133
164,0.009584,143,1704,418
165,0.008070,144,576,151
166,0.006688,145,580,143
167,0.006755,145,0,0
168,0.006596,145,580,143
169,0.006607,146,584,143
170,0.006644,147,588,147
171,0.007332,148,592,144
172,0.006024,149,596,144
173,0.005608,149,0,0
174,0.007098,150,600,147
175,0.005586,150,600,146
176,0.005149,150,0,0
177,0.006993,151,604,146
178,0.006423,152,608,151
179,0.007359,153,612,157
180,0.006525,154,616,161
181,0.005281,154,0,0
182,0.007565,155,620,163
183,0.007029,155,620,158
184,0.019715,156,624,157
185,0.009515,158,1260,315
186,0.006050,159,636,164
187,0.006389,160,640,169
188,0.006736,160,640,174
189,0.006373,161,644,178
190,0.005115,161,0,0
191,0.006261,162,648,174
192,0.006075,163,652,179
193,0.004764,163,0,0
194,0.006577,164,656,176
195,0.012402,165,660,177
196,0.007563,165,660,177
197,0.005925,166,664,177
198,0.006850,167,668,177
199,0.006964,168,672,178
200,0.006478,169,676,180
