Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,8,48,5
3,0.047931,16,112,41
4,0.018751,41,736,190
5,0.011276,49,376,103
6,0.010937,58,448,112
7,0.010379,62,248,69
8,0.011038,66,264,65
9,0.010612,74,576,135
10,0.009978,79,316,86
11,0.010780,83,332,89
12,0.019171,87,348,92
13,0.009412,99,1140,276
14,0.011495,104,416,117
15,0.011202,108,432,108
16,0.010076,112,448,108
17,0.010714,120,944,242
18,0.010622,124,496,128
19,0.010991,129,516,137
20,0.010255,137,1080,341
21,0.011109,141,564,167
22,0.010480,145,580,166
23,0.009783,149,596,182
24,0.007583,158,1248,392
25,0.005088,158,0,0
26,0.020159,162,648,223
27,0.008328,170,1344,427
28,0.005965,174,696,224
29,0.005782,179,716,219
30,0.006068,183,732,246
31,0.005959,187,748,246
32,0.004572,187,0,0
33,0.005995,191,764,248
34,0.006228,195,780,257
35,0.004371,195,0,0
36,0.006265,199,796,278
37,0.006211,204,816,275
38,0.004793,204,0,0
39,0.006522,208,832,291
40,0.006388,212,848,291
41,0.004518,212,0,0
42,0.006432,216,864,310
43,0.006407,220,880,306
44,0.006795,224,896,318
45,0.004445,224,0,0
46,0.006965,229,916,341
47,0.006816,233,932,320
48,0.006931,237,948,351
49,0.018747,237,0,0
50,0.013760,249,2940,1051
51,0.007579,254,1016,388
52,0.007419,258,1032,383
53,0.007288,262,1048,371
54,0.007332,266,1064,374
55,0.007226,270,1080,430
56,0.007380,274,1096,411
57,0.007914,279,1116,422
58,0.008264,283,1132,436
59,0.008343,287,1148,432
60,0.008207,291,1164,430
61,0.008463,295,1180,422
62,0.008664,299,1196,466
63,0.008054,304,1216,463
64,0.008741,308,1232,462
65,0.010282,312,1248,473
66,0.022916,316,1264,452
67,0.018695,329,3892,1469
68,0.014227,337,2680,982
69,0.015256,345,2744,1062
70,0.010731,349,1396,528
71,0.014123,358,2848,1079
72,0.009710,362,1448,539
73,0.015960,370,2944,1106
74,0.010744,374,1496,557
75,0.015832,383,3048,1194
76,0.016993,391,3112,1194
77,0.032131,399,3176,1272
78,0.030811,416,6560,2625
79,0.023479,429,5092,2023
80,0.024177,441,5244,2061
81,0.026085,454,5392,2179
82,0.026902,466,5544,2287
83,0.041298,479,5692,2337
84,0.047512,499,9820,3992
85,0.057746,524,12336,5067
86,0.073095,554,15152,6287
87,0.106220,587,18316,7555
88,0.102340,620,19380,8091
89,0.123774,654,20448,8578
90,0.124645,687,21516,9131
91,0.143828,720,22580,9648
92,0.145034,754,23648,6531
93,0.171088,787,24716,5125
94,0.179403,820,25780,5451
95,0.192013,854,26848,5683
96,0.206866,887,27916,5845
97,0.220326,920,28980,6142
98,0.238264,954,30048,6386
99,0.254244,987,31116,6685
100,0.267779,1020,32180,7453
101,0.282890,1054,33248,7621
102,0.298885,1087,34316,7980
103,0.318240,1120,35380,8587
104,0.333333,1154,36448,8961
105,0.333333,1187,37516,9380
106,0.333333,1220,38580,9580
107,0.333333,1254,39648,10061
108,0.333333,1287,40716,10259
109,0.333333,1320,41780,10467
110,0.333333,1354,42848,10665
111,0.333333,1387,43916,11010
112,0.333333,1420,44980,11747
113,0.333333,1454,46048,11750
114,0.333333,1487,47116,11944
115,0.333333,1520,48180,12171
116,0.333333,1554,49248,12279
117,0.333333,1587,50316,12514
118,0.333333,1620,51380,12886
119,0.333333,1654,52448,12822
120,0.333333,1687,53516,13068
121,0.333333,1720,54580,13200
122,0.333333,1754,55648,13249
123,0.333333,1787,56716,13368
124,0.333333,1820,57780,13469
125,0.333333,1854,58848,13832
126,0.333333,1887,59916,14438
127,0.333333,1920,60980,14451
128,0.333333,1954,62048,14950
129,0.333333,1987,63116,15320
130,0.333333,2020,64180,15312
131,0.333333,2054,65248,15788
132,0.333333,2087,66316,15993
133,0.333333,2120,67380,16374
134,0.333333,2154,68448,16548
135,0.333333,2187,69516,16652
136,0.333333,2220,70580,16938
137,0.333333,2254,71648,16896
138,0.333333,2287,72716,17067
139,0.333333,2320,73780,17247
140,0.333333,2354,74848,17377
141,0.333333,2387,75916,17926
142,0.333333,2420,76980,18345
143,0.333333,2454,78048,18071
144,0.333333,2487,79116,18666
145,0.333333,2520,80180,18567
146,0.333333,2554,81248,19023
147,0.333333,2587,82316,19156
148,0.333333,2620,83380,19460
149,0.333333,2654,84448,20294
150,0.333333,2687,85516,20390
151,0.333333,2719,86576,20863
152,0.333333,2750,87584,20798
153,0.333333,2780,88552,20828
154,0.333333,2808,89492,21132
155,0.333333,2837,90404,21196
156,0.333333,2863,91280,21741
157,0.333333,2887,92084,22062
158,0.333333,2912,92876,22435
159,0.333333,2933,93640,22221
160,0.333333,2952,94248,22977
161,0.333333,2970,94856,22858
162,0.333333,2985,95384,22983
163,0.333333,2999,95864,23082
164,0.333333,3014,96312,23365
165,0.333333,3023,96708,23134
166,0.333333,3034,97032,23370
167,0.333333,3044,97344,23503
168,0.333333,3047,97588,23705
169,0.333333,3052,97744,23444
170,0.333333,3059,97884,23781
171,0.333333,3060,98044,23830
172,0.333333,3062,98100,23718
173,0.333333,3068,98208,23994
174,0.333333,3071,98352,23433
175,0.333333,3070,98392,24141
176,0.333333,3073,98416,24340
177,0.333333,3075,98500,24370
178,0.333333,3078,98576,24220
179,0.333333,3080,98636,24627
180,0.333333,3080,98680,24025
181,0.333333,3082,98708,23897
182,0.333333,3082,98724,24031
