Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,8,48,5
3,0.035511,16,112,41
4,0.010320,37,572,145
5,0.007462,41,164,45
6,0.008813,45,180,54
7,0.008409,49,196,49
8,0.008740,54,216,46
9,0.008523,58,232,66
10,0.007544,62,248,69
11,0.008148,66,264,65
12,0.007562,70,280,68
13,0.008247,74,296,67
14,0.007553,79,316,86
15,0.007957,83,332,89
16,0.007611,83,0,0
17,0.009254,87,348,92
18,0.007610,91,364,88
19,0.006544,95,380,94
20,0.005674,99,396,94
21,0.006052,104,416,117
22,0.006281,108,432,108
23,0.005868,108,0,0
24,0.005876,112,448,108
25,0.006346,116,464,125
26,0.005904,120,480,117
27,0.006057,120,0,0
28,0.006269,124,496,128
29,0.006737,129,516,137
30,0.006003,133,532,166
31,0.005496,133,0,0
32,0.006890,137,548,175
33,0.005895,141,564,167
34,0.005966,141,0,0
35,0.005940,145,580,166
36,0.006815,149,596,182
37,0.005989,154,616,178
38,0.006521,154,0,0
39,0.006647,158,632,214
40,0.007703,162,648,223
41,0.007163,166,664,205
42,0.006589,170,680,222
43,0.006711,174,696,224
44,0.005549,174,0,0
45,0.006070,179,716,219
46,0.006406,183,732,246
47,0.006110,187,748,246
48,0.005917,187,0,0
49,0.006660,191,764,248
50,0.006079,195,780,257
51,0.004353,195,0,0
52,0.006060,199,796,278
53,0.005835,204,816,275
54,0.004594,204,0,0
55,0.005927,208,832,291
56,0.006443,212,848,291
57,0.004202,212,0,0
58,0.006222,216,864,310
59,0.006420,220,880,306
60,0.006290,224,896,318
61,0.004161,224,0,0
62,0.006522,229,916,341
63,0.006865,233,932,320
64,0.004374,233,0,0
65,0.006481,237,948,351
66,0.008195,241,964,339
67,0.007838,245,980,357
68,0.006783,249,996,355
69,0.004285,249,0,0
70,0.006791,254,1016,388
71,0.006874,258,1032,383
72,0.007437,262,1048,371
73,0.004509,262,0,0
74,0.006943,266,1064,374
75,0.007130,270,1080,430
76,0.007532,274,1096,411
77,0.007420,279,1116,422
78,0.004544,279,0,0
79,0.007683,283,1132,436
80,0.007916,287,1148,432
81,0.007805,291,1164,430
82,0.008099,295,1180,422
83,0.008147,299,1196,466
84,0.007869,304,1216,463
85,0.008470,308,1232,462
86,0.008306,312,1248,473
87,0.010360,316,1264,452
88,0.009410,320,1280,502
89,0.009457,324,1296,483
90,0.008315,329,1316,484
91,0.008428,333,1332,492
92,0.008914,337,1348,490
93,0.008720,341,1364,540
94,0.010807,345,1380,522
95,0.013614,354,2812,1070
96,0.009349,358,1432,537
97,0.009905,362,1448,539
98,0.014189,370,2944,1106
99,0.010412,374,1496,557
100,0.014924,383,3048,1194
101,0.012221,387,1548,592
102,0.018392,395,3144,1205
103,0.018345,404,3212,1322
104,0.018670,412,3280,1283
105,0.017474,420,3344,1379
106,0.023066,433,5144,2010
107,0.017642,441,3512,1384
108,0.018657,449,3576,1455
109,0.025560,462,5496,2235
110,0.028597,474,5640,2318
111,0.030000,487,5796,2419
112,0.037026,504,7956,3185
113,0.042614,520,8224,3383
114,0.051283,541,10656,4428
115,0.069988,566,13336,5492
116,0.096402,599,18712,7690
117,0.105090,633,19784,8371
118,0.116094,666,20848,8790
119,0.125183,699,21912,9336
120,0.137081,733,22984,8962
121,0.146791,766,24048,5553
122,0.159466,799,25112,5235
123,0.170450,833,26184,5474
124,0.184821,866,27248,5691
125,0.197518,899,28312,5989
126,0.215718,933,29384,6288
127,0.227029,966,30448,6410
128,0.242974,999,31512,7008
129,0.258817,1033,32584,7635
130,0.278543,1066,33648,7704
131,0.290344,1099,34712,8076
132,0.309089,1133,35784,8904
133,0.325323,1166,36848,9084
134,0.333333,1199,37912,9463
135,0.333333,1233,38984,9680
136,0.333333,1266,40048,10252
137,0.333333,1299,41112,10230
138,0.333333,1333,42184,10649
139,0.333333,1366,43248,10684
140,0.333333,1399,44312,11297
141,0.333333,1433,45384,11742
142,0.333333,1466,46448,11927
143,0.333333,1499,47512,12049
144,0.333333,1533,48584,12105
145,0.333333,1566,49648,12406
146,0.333333,1599,50712,12631
147,0.333333,1633,51784,12900
148,0.333333,1666,52848,12881
149,0.333333,1699,53912,13113
150,0.333333,1733,54984,13321
151,0.333333,1766,56048,13087
152,0.333333,1799,57112,13531
153,0.333333,1833,58184,13567
154,0.333333,1866,59248,14118
155,0.333333,1899,60312,14366
156,0.333333,1933,61384,14657
157,0.333333,1966,62448,15056
158,0.333333,1999,63512,15397
159,0.333333,2033,64584,15432
160,0.333333,2066,65648,15980
161,0.333333,2099,66712,16043
162,0.333333,2133,67784,16565
163,0.333333,2166,68848,16483
164,0.333333,2199,69912,16839
165,0.333333,2233,70984,16817
166,0.333333,2266,72048,16962
167,0.333333,2299,73112,17270
168,0.333333,2333,74184,17238
169,0.333333,2366,75248,17334
170,0.333333,2399,76312,18266
171,0.333333,2433,77384,18300
172,0.333333,2466,78448,18273
173,0.333333,2499,79512,18619
174,0.333333,2533,80584,18720
175,0.333333,2566,81648,19069
176,0.333333,2599,82712,19244
177,0.333333,2633,83784,19790
178,0.333333,2666,84848,20353
179,0.333333,2699,85912,20606
180,0.333333,2731,86968,20749
181,0.333333,2761,87948,20783
182,0.333333,2790,88904,21000
183,0.333333,2819,89840,21114
184,0.333333,2847,90736,21389
185,0.333333,2872,91592,21752
186,0.333333,2897,92380,22434
187,0.333333,2921,93168,22315
