Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,1,4,0
3,0.063946,3,20,0
4,0.018902,10,216,0
5,0.012790,11,84,0
6,0.010101,13,100,0
7,0.015011,14,56,0
8,0.010847,15,120,0
9,0.010264,16,64,0
10,0.018638,17,68,0
11,0.009931,20,228,0
12,0.012499,20,80,0
13,0.010190,21,84,0
14,0.010165,22,88,0
15,0.010653,24,188,0
16,0.010180,25,100,0
17,0.009596,25,100,0
18,0.009864,26,104,0
19,0.008118,28,220,0
20,0.004819,29,116,0
21,0.005142,29,0,0
22,0.004421,30,120,0
23,0.004224,30,0,0
24,0.004547,30,120,0
25,0.004231,30,0,0
26,0.004214,31,124,0
27,0.004478,31,0,0
28,0.017119,32,128,0
29,0.006116,34,268,0
30,0.004677,35,140,0
31,0.004118,35,0,0
32,0.004408,35,140,0
33,0.004421,35,0,0
34,0.004359,36,144,0
35,0.004043,36,0,0
36,0.004502,37,148,0
37,0.004284,37,0,0
38,0.004202,38,152,0
39,0.004428,38,0,0
40,0.004354,39,156,0
41,0.004287,39,0,0
42,0.004978,40,160,0
43,0.006070,40,0,0
44,0.006082,40,160,0
45,0.006042,41,164,0
46,0.006111,42,168,0
47,0.006042,42,0,0
48,0.006118,43,172,0
49,0.006053,44,176,0
50,0.006058,45,180,0
51,0.006079,45,0,0
52,0.006064,45,180,0
53,0.006071,46,184,0
54,0.006075,46,0,0
55,0.006093,47,188,0
56,0.006072,48,192,0
57,0.005979,49,196,0
58,0.006124,49,0,0
59,0.006101,50,200,0
60,0.006254,50,200,0
61,0.005903,51,204,0
62,0.006050,51,0,0
63,0.006072,52,208,0
64,0.006078,53,212,0
65,0.006062,53,0,0
66,0.006076,54,216,0
67,0.006056,55,220,0
68,0.006089,55,220,0
69,0.006057,55,0,0
70,0.006071,56,224,0
71,0.006097,57,228,0
72,0.006096,58,232,0
73,0.006036,58,0,0
74,0.006086,59,236,0
75,0.006058,60,240,0
76,0.006097,60,240,0
77,0.006058,60,0,0
78,0.006100,61,244,0
79,0.006046,62,248,0
80,0.019390,62,0,0
81,0.005844,65,768,0
82,0.004374,65,0,0
83,0.004504,65,260,0
84,0.004406,66,264,0
85,0.004236,66,0,0
86,0.004442,67,268,0
87,0.004351,67,0,0
88,0.004699,68,272,0
89,0.004516,68,0,0
90,0.006032,69,276,0
91,0.006068,69,0,0
92,0.006153,70,280,0
93,0.005991,70,280,0
94,0.006063,71,284,0
95,0.006066,71,0,0
96,0.006065,72,288,0
97,0.006100,73,292,0
98,0.006049,74,296,0
99,0.006136,74,0,0
100,0.006039,75,300,0
101,0.006070,75,300,0
102,0.006251,75,0,0
103,0.005874,76,304,0
104,0.006102,77,308,0
105,0.019188,78,312,0
106,0.005946,80,636,0
107,0.011124,80,320,0
108,0.006170,81,324,0
109,0.006079,82,328,0
110,0.006085,82,0,0
111,0.006042,83,332,0
112,0.006412,84,336,0
113,0.005776,85,340,0
114,0.006065,85,0,0
115,0.006118,85,340,0
116,0.006044,86,344,0
117,0.006086,87,348,0
118,0.006078,87,0,0
119,0.006046,88,352,0
120,0.006152,89,356,0
121,0.006023,89,0,0
122,0.006066,90,360,0
123,0.006002,90,360,0
124,0.006095,91,364,0
125,0.006109,91,0,0
126,0.006061,92,368,0
127,0.016962,93,372,0
128,0.006172,95,756,0
129,0.004609,95,380,0
130,0.004088,95,0,0
131,0.004298,96,384,0
132,0.004740,96,0,0
133,0.004741,97,388,0
134,0.004363,97,0,0
135,0.004645,98,392,0
136,0.006081,98,0,0
137,0.006064,99,396,0
138,0.006088,100,400,0
139,0.006107,100,400,0
140,0.006038,100,0,0
141,0.006060,101,404,0
142,0.006048,102,408,0
143,0.006106,103,412,0
144,0.006067,103,0,0
145,0.006063,104,416,0
146,0.006081,105,420,0
147,0.006049,105,0,0
148,0.006080,105,420,0
149,0.006084,106,424,0
150,0.006088,107,428,0
151,0.006057,107,0,0
152,0.018803,108,432,0
153,0.006290,110,876,0
154,0.004671,110,440,0
155,0.004330,111,444,0
156,0.004139,111,0,0
157,0.004512,112,448,0
158,0.004679,112,0,0
159,0.004635,113,452,0
160,0.004322,113,0,0
161,0.004358,114,456,0
162,0.006079,114,0,0
163,0.006031,115,460,0
164,0.006110,115,460,0
165,0.006039,116,464,0
166,0.006104,116,0,0
167,0.006056,117,468,0
168,0.006048,118,472,0
169,0.006114,118,0,0
170,0.006043,119,476,0
171,0.006078,120,480,0
172,0.006069,120,480,0
173,0.006076,120,0,0
174,0.006070,121,484,0
175,0.006095,122,488,0
176,0.006079,123,492,0
177,0.018134,123,0,0
178,0.006133,125,996,0
179,0.004565,125,500,0
180,0.004449,126,504,0
181,0.004176,126,0,0
182,0.004547,127,508,0
183,0.004309,127,0,0
184,0.004805,128,512,0
185,0.004336,128,0,0
186,0.005242,129,516,0
187,0.006131,130,520,0
188,0.006010,130,0,0
189,0.006091,130,520,0
190,0.006087,131,524,0
191,0.006040,131,0,0
192,0.006067,132,528,0
193,0.006092,133,532,0
194,0.006065,134,536,0
195,0.006059,134,0,0
196,0.006061,135,540,0
197,0.006106,135,540,0
198,0.006071,136,544,0
199,0.006065,136,0,0
200,0.006077,137,548,0
201,0.006063,138,552,0
202,0.019925,139,556,0
203,0.006248,140,1120,0
204,0.004663,141,564,0
205,0.004149,141,0,0
206,0.004435,142,568,0
207,0.004302,142,0,0
208,0.004345,143,572,0
209,0.004425,143,0,0
210,0.004571,144,576,0
211,0.004246,144,0,0
212,0.005539,145,580,0
213,0.006126,145,580,0
214,0.006025,145,0,0
215,0.006061,146,584,0
216,0.006054,147,588,0
217,0.006029,147,0,0
218,0.006096,148,592,0
219,0.006029,149,596,0
220,0.006114,150,600,0
221,0.006086,150,0,0
222,0.006040,150,600,0
223,0.006079,151,604,0
224,0.006115,152,608,0
225,0.006005,152,0,0
226,0.006111,153,612,0
227,0.017834,154,616,0
228,0.006427,155,1240,0
229,0.004874,156,624,0
230,0.004244,156,0,0
231,0.004462,157,628,0
232,0.004317,157,0,0
