Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,5,28,3
3,0.046143,10,68,18
4,0.015967,25,444,97
5,0.006779,30,228,43
6,0.010185,32,128,30
7,0.007402,35,140,27
8,0.011054,37,148,32
9,0.007587,40,160,31
10,0.008205,42,168,33
11,0.007637,45,180,36
12,0.008058,47,188,30
13,0.007822,50,200,42
14,0.008149,52,208,37
15,0.009053,55,220,46
16,0.010581,57,228,50
17,0.007692,60,240,50
18,0.008210,62,248,54
19,0.007521,65,260,58
20,0.007950,67,268,56
21,0.007716,70,280,50
22,0.008067,72,288,56
23,0.007388,75,300,55
24,0.007985,77,308,60
25,0.007671,80,320,51
26,0.007849,80,0,0
27,0.007680,82,328,50
28,0.008318,85,340,61
29,0.007715,87,348,68
30,0.007499,90,360,68
31,0.006491,92,368,72
32,0.005738,95,380,83
33,0.007085,97,388,82
34,0.005719,97,0,0
35,0.005606,100,400,85
36,0.005787,102,408,87
37,0.006226,105,420,97
38,0.005282,105,0,0
39,0.005470,107,428,96
40,0.005568,110,440,110
41,0.006172,110,0,0
42,0.006918,112,448,118
43,0.005591,115,460,123
44,0.004757,115,0,0
45,0.005672,117,468,108
46,0.005496,120,480,136
47,0.005402,120,0,0
48,0.005872,122,488,132
49,0.006308,125,500,129
50,0.006959,127,508,143
51,0.004906,127,0,0
52,0.005682,130,520,144
53,0.005966,132,528,156
54,0.004899,132,0,0
55,0.005580,135,540,156
56,0.005343,137,548,150
57,0.005471,137,0,0
58,0.005735,140,560,162
59,0.006544,142,568,171
60,0.007491,142,0,0
61,0.010959,145,580,176
62,0.006605,150,1188,354
63,0.004534,150,0,0
64,0.004957,152,608,168
65,0.005117,155,620,164
66,0.004114,155,0,0
67,0.004993,157,628,168
68,0.004470,157,0,0
69,0.004984,160,640,193
70,0.004759,160,0,0
71,0.004969,162,648,182
72,0.005135,165,660,189
73,0.004220,165,0,0
74,0.005149,167,668,191
75,0.004448,167,0,0
76,0.005104,170,680,190
77,0.005391,170,0,0
78,0.006092,172,688,189
79,0.006380,175,700,201
80,0.005726,177,708,205
81,0.006094,177,0,0
82,0.006055,180,720,200
83,0.024215,182,728,213
84,0.008151,190,2248,663
85,0.007380,192,768,226
86,0.005721,192,0,0
87,0.005479,195,780,234
88,0.009829,197,788,252
89,0.006309,200,800,247
90,0.005748,202,808,239
91,0.006096,202,0,0
92,0.006125,205,820,264
93,0.006054,207,828,250
94,0.006074,210,840,251
95,0.006067,210,0,0
96,0.006090,212,848,266
97,0.006207,215,860,250
98,0.005902,217,868,271
99,0.006015,217,0,0
100,0.006123,220,880,257
101,0.006153,222,888,273
102,0.006063,222,0,0
103,0.005952,225,900,284
104,0.006035,227,908,285
105,0.006096,230,920,287
106,0.006079,230,0,0
107,0.006064,232,928,275
108,0.006108,235,940,287
109,0.006080,237,948,286
110,0.006054,237,0,0
111,0.007045,240,960,329
112,0.005732,242,968,300
113,0.005720,245,980,300
114,0.005794,245,0,0
115,0.006090,247,988,291
116,0.006028,250,1000,318
117,0.006196,250,0,0
118,0.005940,252,1008,311
119,0.006150,255,1020,330
120,0.006029,257,1028,332
121,0.006030,257,0,0
122,0.006122,260,1040,326
123,0.006085,262,1048,333
124,0.006042,262,0,0
125,0.006100,265,1060,329
126,0.006560,267,1068,338
127,0.006022,270,1080,338
128,0.005640,270,0,0
129,0.006331,272,1088,346
130,0.005790,275,1100,361
131,0.006091,277,1108,355
132,0.006024,277,0,0
133,0.006136,280,1120,345
134,0.006114,282,1128,363
135,0.005985,282,0,0
136,0.007125,285,1140,375
137,0.006073,287,1148,356
138,0.005765,290,1160,377
139,0.005319,290,0,0
140,0.006145,292,1168,384
141,0.006381,295,1180,389
142,0.005725,297,1188,383
143,0.006048,297,0,0
144,0.006074,300,1200,407
145,0.006567,302,1208,403
146,0.005896,305,1220,389
147,0.005729,305,0,0
148,0.006116,307,1228,420
149,0.006227,310,1240,410
150,0.005908,310,0,0
151,0.006071,312,1248,413
152,0.006066,315,1260,403
153,0.006069,317,1268,428
154,0.006109,317,0,0
155,0.006212,320,1280,427
156,0.006009,322,1288,432
157,0.006004,325,1300,460
158,0.006038,325,0,0
159,0.006291,327,1308,448
160,0.007178,330,1320,426
161,0.007878,332,1328,433
162,0.006028,335,1340,431
163,0.004436,335,0,0
164,0.005921,337,1348,444
165,0.006431,340,1360,472
166,0.004425,340,0,0
167,0.006144,342,1368,475
168,0.006143,345,1380,461
169,0.005917,345,0,0
170,0.006162,347,1388,455
171,0.006248,350,1400,473
172,0.005941,350,0,0
173,0.006774,352,1408,480
174,0.006554,355,1420,490
175,0.006213,357,1428,490
176,0.006581,360,1440,493
177,0.004989,360,0,0
178,0.006733,362,1448,488
179,0.006465,365,1460,478
180,0.006553,367,1468,489
181,0.004656,367,0,0
182,0.006514,370,1480,501
183,0.006635,372,1488,523
184,0.004466,372,0,0
185,0.008745,375,1500,513
186,0.007595,377,1508,536
187,0.006307,380,1520,538
188,0.006037,382,1528,502
189,0.004313,382,0,0
190,0.007403,385,1540,527
191,0.006292,387,1548,540
192,0.006408,390,1560,544
193,0.004892,390,0,0
194,0.006060,392,1568,528
195,0.006406,395,1580,545
196,0.004296,395,0,0
197,0.006336,397,1588,558
198,0.006229,400,1600,559
199,0.004376,400,0,0
200,0.006177,402,1608,561
201,0.006556,405,1620,589
202,0.007540,405,0,0
203,0.006990,407,1628,565
204,0.006317,410,1640,559
205,0.006957,412,1648,564
206,0.006983,415,1660,575
207,0.006773,417,1668,593
208,0.004484,417,0,0
209,0.008128,420,1680,597
210,0.008248,422,1688,599
211,0.007250,425,1700,598
212,0.006430,427,1708,589
213,0.006531,430,1720,603
214,0.004822,430,0,0
215,0.006819,432,1728,620
216,0.006596,435,1740,616
217,0.006692,437,1748,624
218,0.004201,437,0,0
219,0.006480,440,1760,622
220,0.006553,442,1768,641
221,0.004472,442,0,0
222,0.006433,445,1780,637
223,0.006683,447,1788,638
224,0.006687,450,1800,654
225,0.004544,450,0,0
226,0.006520,452,1808,652
227,0.006785,455,1820,653
228,0.006700,457,1828,653
229,0.004452,457,0,0
230,0.006472,460,1840,671
231,0.006751,462,1848,661
232,0.004302,462,0,0
233,0.006772,465,1860,638
234,0.008196,467,1868,638
235,0.008527,470,1880,646
236,0.006926,472,1888,677
237,0.007102,475,1900,681
238,0.004230,475,0,0
239,0.006961,477,1908,651
240,0.006971,480,1920,661
241,0.007279,482,1928,669
242,0.007081,485,1940,694
243,0.004665,485,0,0
244,0.006830,487,1948,671
245,0.007224,490,1960,686
246,0.007160,492,1968,691
247,0.004465,492,0,0
248,0.006938,495,1980,717
249,0.007466,497,1988,686
250,0.007967,500,2000,704
251,0.007258,502,2008,702
252,0.007123,505,2020,728
253,0.004735,505,0,0
254,0.008092,507,2028,701
255,0.007524,510,2040,694
256,0.008893,512,2048,710
257,0.009464,515,2060,716
258,0.007653,517,2068,720
259,0.007474,520,2080,726
260,0.008175,522,2088,744
261,0.007533,525,2100,713
262,0.007346,527,2108,726
263,0.007600,530,2120,711
264,0.007439,532,2128,708
265,0.004573,532,0,0
266,0.007348,535,2140,702
267,0.007670,537,2148,721
268,0.007484,540,2160,710
269,0.008446,542,2168,694
270,0.007625,545,2180,724
271,0.007813,547,2188,705
272,0.007944,550,2200,704
273,0.007622,552,2208,700
274,0.004380,552,0,0
275,0.008413,555,2220,688
276,0.009013,557,2228,687
277,0.009569,560,2240,655
278,0.007765,562,2248,661
279,0.007754,565,2260,667
280,0.008560,567,2268,636
281,0.007895,570,2280,637
282,0.008050,572,2288,607
283,0.007908,575,2300,586
284,0.007674,577,2308,591
285,0.007873,580,2320,592
286,0.007817,582,2328,583
287,0.007939,585,2340,546
288,0.007799,587,2348,535
289,0.008035,590,2360,530
290,0.007895,592,2368,512
291,0.007923,595,2380,488
292,0.007801,597,2388,460
293,0.004491,597,0,0
294,0.008720,600,2400,427
295,0.010408,602,2408,397
296,0.009320,605,2420,396
297,0.008624,607,2428,395
298,0.008267,610,2440,426
299,0.008325,612,2448,442
300,0.007984,615,2460,430
301,0.008122,617,2468,419
302,0.007950,620,2480,436
303,0.008109,622,2488,435
304,0.007908,625,2500,422
305,0.008092,627,2508,402
306,0.008291,630,2520,407
307,0.009047,632,2528,383
308,0.008583,635,2540,397
309,0.008201,637,2548,387
310,0.008499,640,2560,400
311,0.008277,642,2568,420
312,0.008538,645,2580,412
313,0.009942,647,2588,389
314,0.014250,652,5208,804
315,0.009231,655,2620,390
316,0.009467,657,2628,391
317,0.009000,660,2640,394
318,0.012625,665,5308,769
319,0.010056,667,2668,400
320,0.008666,670,2680,400
321,0.008548,672,2688,431
322,0.008780,675,2700,428
323,0.009006,677,2708,426
324,0.009513,680,2720,411
325,0.012700,685,5468,789
326,0.009181,687,2748,406
327,0.009334,690,2760,408
328,0.011563,692,2768,399
329,0.013995,697,5568,820
330,0.009593,700,2800,411
331,0.013528,705,5628,811
332,0.009448,707,2828,425
333,0.008885,710,2840,445
334,0.008740,712,2848,432
335,0.008846,715,2860,432
336,0.012806,720,5748,842
337,0.009082,722,2888,444
338,0.009137,725,2900,448
339,0.008831,727,2908,440
340,0.009021,730,2920,450
341,0.008777,732,2928,445
342,0.009694,735,2940,457
343,0.015379,740,5908,897
344,0.010764,742,2968,446
345,0.014581,747,5968,872
346,0.010383,750,3000,461
347,0.013573,755,6028,916
348,0.009204,757,3028,463
349,0.009895,760,3040,460
350,0.014098,765,6108,900
351,0.010188,767,3068,473
352,0.013605,772,6168,958
353,0.009179,775,3100,478
354,0.009484,777,3108,484
355,0.009940,780,3120,497
356,0.016060,785,6268,1029
357,0.016213,790,6308,985
358,0.014694,795,6348,950
359,0.009603,797,3188,471
360,0.009499,800,3200,502
361,0.014185,805,6428,1002
362,0.010553,807,3228,502
363,0.016797,812,6488,1022
364,0.014468,817,6528,1005
365,0.009618,820,3280,514
366,0.009852,822,3288,521
367,0.014373,827,6608,1091
368,0.011804,830,3320,543
369,0.016198,835,6668,1074
370,0.015482,840,6708,1070
371,0.014490,845,6748,1086
372,0.009865,847,3388,558
373,0.010675,850,3400,536
374,0.014699,855,6828,1075
375,0.014511,860,6868,1080
376,0.010519,862,3448,540
377,0.014574,867,6928,1095
378,0.010002,870,3480,557
379,0.010488,872,3488,517
380,0.017016,877,7008,1117
381,0.017535,882,7048,1122
382,0.015539,887,7088,1120
383,0.015184,892,7128,1185
384,0.015413,897,7168,1198
385,0.010638,900,3600,575
386,0.015285,905,7228,1193
387,0.015311,910,7268,1196
388,0.010853,912,3648,563
389,0.016503,917,7328,1190
390,0.015399,922,7368,1217
391,0.017866,927,7408,1292
392,0.019332,932,7448,1285
393,0.016498,937,7488,1323
394,0.017595,942,7528,1276
395,0.015981,947,7568,1298
396,0.016309,952,7608,1323
397,0.016215,957,7648,1335
398,0.017976,962,7688,1310
399,0.016267,967,7728,1329
400,0.019527,972,7768,1328
401,0.017951,977,7808,1309
402,0.017484,982,7848,1346
403,0.021614,990,11848,1929
404,0.016548,995,7948,1327
405,0.016391,1000,7988,1355
406,0.016729,1005,8028,1335
407,0.016685,1010,8068,1288
408,0.016821,1015,8108,1356
409,0.018795,1020,8148,1346
410,0.019314,1025,8188,1312
411,0.022588,1032,12356,1897
412,0.017402,1037,8288,1335
413,0.022664,1045,12508,1988
414,0.017140,1050,8388,1312
415,0.017287,1055,8428,1313
416,0.017702,1060,8468,1306
